scientific name,English name,number of people seeing species
Streptopelia capicola,Ring-necked Dove,14
Streptopelia vinacea,Vinaceous Dove,5
Streptopelia tranquebarica,Red Collared-Dove,12
Streptopelia picturata,Madagascar Turtle-Dove,1
Streptopelia chinensis,Spotted Dove,32
Streptopelia senegalensis,Laughing Dove,24
Macropygia unchall,Barred Cuckoo-Dove,2
Macropygia phasianella,Brown Cuckoo-Dove,10
Macropygia macassariensis,Flores Sea Cuckoo-Dove,0
Macropygia magna,Timor Cuckoo-Dove,0
Macropygia timorlaoensis,Tanimbar Cuckoo-Dove,0
Macropygia amboinensis,Amboyna Cuckoo-Dove,1
Macropygia doreya,Sultan's Cuckoo-Dove,2
Macropygia rufipennis,Andaman Cuckoo-Dove,1
Macropygia tenuirostris,Philippine Cuckoo-Dove,5
Macropygia emiliana,Ruddy Cuckoo-Dove,1
Macropygia cinnamomea,Enggano Cuckoo-Dove,0
Macropygia modiglianii,Barusan Cuckoo-Dove,0
Macropygia nigrirostris,Black-billed Cuckoo-Dove,1
Macropygia mackinlayi,Mackinlay's Cuckoo-Dove,0
Macropygia ruficeps,Little Cuckoo-Dove,6
Reinwardtoena reinwardti,Great Cuckoo-Dove,1
Reinwardtoena browni,Pied Cuckoo-Dove,0
Reinwardtoena crassirostris,Crested Cuckoo-Dove,0
Turacoena manadensis,White-faced Cuckoo-Dove,2
Turacoena sulaensis,Sula Cuckoo-Dove,0
Turacoena modesta,Slaty Cuckoo-Dove,0
Turtur chalcospilos,Emerald-spotted Wood-Dove,12
Turtur abyssinicus,Black-billed Wood-Dove,3
Turtur afer,Blue-spotted Wood-Dove,7
Turtur tympanistria,Tambourine Dove,9
Turtur brehmeri,Blue-headed Wood-Dove,2
Oena capensis,Namaqua Dove,18
Chalcophaps indica,Asian Emerald Dove,14
Chalcophaps longirostris,Pacific Emerald Dove,9
Chalcophaps stephani,Stephan's Dove,1
Henicophaps albifrons,New Guinea Bronzewing,0
Henicophaps foersteri,New Britain Bronzewing,0
Alopecoenas hoedtii,Wetar Ground-Dove,0
Alopecoenas stairi,Shy Ground-Dove,0
Alopecoenas sanctaecrucis,Santa Cruz Ground-Dove,0
Alopecoenas salamonis,Thick-billed Ground-Dove,0
Alopecoenas ferrugineus,Tanna Ground-Dove,0
Alopecoenas beccarii,Bronze Ground-Dove,0
Alopecoenas canifrons,Palau Ground-Dove,0
Alopecoenas jobiensis,White-bibbed Ground-Dove,0
Alopecoenas rubescens,Marquesas Ground-Dove,0
Alopecoenas kubaryi,Caroline Islands Ground-Dove,0
Alopecoenas erythropterus,Polynesian Ground-Dove,0
Alopecoenas xanthonurus,White-throated Ground-Dove,0
Alopecoenas norfolkensis,Norfolk Ground-Dove,0
Phaps chalcoptera,Common Bronzewing,9
Phaps elegans,Brush Bronzewing,3
Phaps histrionica,Flock Bronzewing,1
Ocyphaps lophotes,Crested Pigeon,10
Geophaps plumifera,Spinifex Pigeon,1
Geophaps scripta,Squatter Pigeon,6
Geophaps smithii,Partridge Pigeon,1
Petrophassa rufipennis,Chestnut-quilled Rock-Pigeon,1
Petrophassa albipennis,White-quilled Rock-Pigeon,0
Leucosarcia melanoleuca,Wonga Pigeon,9
Geopelia cuneata,Diamond Dove,5
Geopelia striata,Zebra Dove,26
Geopelia placida,Peaceful Dove,9
Geopelia maugeus,Barred Dove,0
Geopelia humeralis,Bar-shouldered Dove,9
Columbina inca,Inca Dove,45
Columbina passerina,Common Ground-Dove,48
Columbina minuta,Plain-breasted Ground-Dove,10
Columbina talpacoti,Ruddy Ground-Dove,37
Columbina buckleyi,Ecuadorian Ground-Dove,3
Columbina squammata,Scaled Dove,6
Columbina picui,Picui Ground-Dove,5
Columbina cruziana,Croaking Ground-Dove,7
Columbina cyanopis,Blue-eyed Ground-Dove,0
Claravis pretiosa,Blue Ground-Dove,15
Claravis mondetoura,Maroon-chested Ground-Dove,1
Claravis geoffroyi,Purple-winged Ground-Dove,0
Metriopelia ceciliae,Bare-faced Ground-Dove,6
Metriopelia morenoi,Bare-eyed Ground-Dove,1
Metriopelia melanoptera,Black-winged Ground-Dove,6
Metriopelia aymara,Golden-spotted Ground-Dove,3
Uropelia campestris,Long-tailed Ground-Dove,0
Starnoenas cyanocephala,Blue-headed Quail-Dove,2
Geotrygon purpurata,Purple Quail-Dove,2
Geotrygon saphirina,Sapphire Quail-Dove,1
Geotrygon versicolor,Crested Quail-Dove,1
Geotrygon montana,Ruddy Quail-Dove,11
Geotrygon violacea,Violaceous Quail-Dove,3
Geotrygon caniceps,Gray-fronted Quail-Dove,1
Geotrygon leucometopia,White-fronted Quail-Dove,1
Geotrygon chrysia,Key West Quail-Dove,7
Geotrygon mystacea,Bridled Quail-Dove,1
Leptotrygon veraguensis,Olive-backed Quail-Dove,1
Leptotila verreauxi,White-tipped Dove,41
Leptotila jamaicensis,Caribbean Dove,4
Leptotila cassinii,Gray-chested Dove,19
Leptotila conoveri,Tolima Dove,0
Leptotila ochraceiventris,Ochre-bellied Dove,1
Leptotila plumbeiceps,Gray-headed Dove,10
Leptotila rufaxilla,Gray-fronted Dove,7
Leptotila wellsi,Grenada Dove,0
Leptotila pallida,Pallid Dove,4
Leptotila megalura,Large-tailed Dove,1
Zentrygon carrikeri,Tuxtla Quail-Dove,0
Zentrygon costaricensis,Buff-fronted Quail-Dove,6
Zentrygon lawrencii,Purplish-backed Quail-Dove,1
Zentrygon albifacies,White-faced Quail-Dove,1
Zentrygon frenata,White-throated Quail-Dove,4
Zentrygon linearis,Lined Quail-Dove,3
Zentrygon chiriquensis,Chiriqui Quail-Dove,3
Zentrygon goldmani,Russet-crowned Quail-Dove,0
Zenaida meloda,West Peruvian Dove,5
Zenaida asiatica,White-winged Dove,50
Zenaida aurita,Zenaida Dove,22
Zenaida galapagoensis,Galapagos Dove,3
Zenaida auriculata,Eared Dove,18
Zenaida macroura,Mourning Dove,56
Zenaida graysoni,Socorro Dove,0
Caloenas nicobarica,Nicobar Pigeon,2
Caloenas maculata,Spotted Green Pigeon,0
Raphus cucullatus,Dodo,0
Pezophaps solitaria,Rodrigues Solitaire,0
Gallicolumba tristigmata,Sulawesi Ground-Dove,1
Gallicolumba rufigula,Cinnamon Ground-Dove,1
Gallicolumba platenae,Mindoro Bleeding-heart,0
Gallicolumba keayi,Negros Bleeding-heart,0
Gallicolumba menagei,Sulu Bleeding-heart,0
Gallicolumba luzonica,Luzon Bleeding-heart,2
Gallicolumba crinigera,Mindanao Bleeding-heart,1
Microgoura meeki,Choiseul Pigeon,0
Trugon terrestris,Thick-billed Ground-Pigeon,0
Otidiphaps nobilis,Pheasant Pigeon,1
Goura cristata,Western Crowned-Pigeon,1
Goura sclaterii,Sclater's Crowned-Pigeon,1
Goura scheepmakeri,Scheepmaker's Crowned-Pigeon,0
Goura victoria,Victoria Crowned-Pigeon,0
Didunculus strigirostris,Tooth-billed Pigeon,0
Phapitreron leucotis,White-eared Brown-Dove,3
Phapitreron amethystinus,Amethyst Brown-Dove,3
Phapitreron brunneiceps,Mindanao Brown-Dove,0
Phapitreron cinereiceps,Tawitawi Brown-Dove,0
Treron olax,Little Green-Pigeon,6
Treron vernans,Pink-necked Pigeon,10
Treron fulvicollis,Cinnamon-headed Pigeon,1
Treron bicinctus,Orange-breasted Pigeon,2
Treron pompadora,Sri Lanka Green-Pigeon,2
Treron affinis,Gray-fronted Green-Pigeon,2
Treron chloropterus,Andaman Green-Pigeon,1
Treron phayrei,Ashy-headed Green-Pigeon,1
Treron axillaris,Philippine Green-Pigeon,3
Treron aromaticus,Buru Green-Pigeon,0
Treron curvirostra,Thick-billed Pigeon,5
Treron griseicauda,Gray-cheeked Pigeon,3
Treron teysmannii,Sumba Green-Pigeon,0
Treron floris,Flores Green-Pigeon,0
Treron psittaceus,Timor Green-Pigeon,0
Treron capellei,Large Green-Pigeon,2
Treron phoenicopterus,Yellow-footed Pigeon,5
Treron waalia,Bruce's Green-Pigeon,5
Treron australis,Madagascar Green-Pigeon,1
Treron pembaensis,Pemba Green-Pigeon,0
Treron sanctithomae,Sao Tome Green-Pigeon,0
Treron seimundi,Yellow-vented Pigeon,1
Treron apicauda,Pin-tailed Pigeon,2
Treron calvus,African Green-Pigeon,12
Treron oxyurus,Green-spectacled Pigeon,1
Treron sphenurus,Wedge-tailed Pigeon,4
Treron sieboldii,White-bellied Pigeon,2
Treron formosae,Whistling Green-Pigeon,1
Ptilinopus cinctus,Black-backed Fruit-Dove,0
Ptilinopus alligator,Black-banded Fruit-Dove,1
Ptilinopus dohertyi,Red-naped Fruit-Dove,0
Ptilinopus porphyreus,Pink-headed Fruit-Dove,1
Ptilinopus occipitalis,Yellow-breasted Fruit-Dove,1
Ptilinopus marchei,Flame-breasted Fruit-Dove,1
Ptilinopus merrilli,Cream-breasted Fruit-Dove,1
Ptilinopus fischeri,Red-eared Fruit-Dove,1
Ptilinopus jambu,Jambu Fruit-Dove,0
Ptilinopus epius,Maroon-chinned Fruit-Dove,1
Ptilinopus subgularis,Banggai Fruit-Dove,0
Ptilinopus mangoliensis,Sula Fruit-Dove,0
Ptilinopus leclancheri,Black-chinned Fruit-Dove,3
Ptilinopus bernsteinii,Scarlet-breasted Fruit-Dove,1
Ptilinopus magnificus,Wompoo Fruit-Dove,8
Ptilinopus perlatus,Pink-spotted Fruit-Dove,1
Ptilinopus ornatus,Ornate Fruit-Dove,1
Ptilinopus tannensis,Tanna Fruit-Dove,0
Ptilinopus aurantiifrons,Orange-fronted Fruit-Dove,1
Ptilinopus wallacii,Wallace's Fruit-Dove,0
Ptilinopus superbus,Superb Fruit-Dove,5
Ptilinopus perousii,Many-colored Fruit-Dove,0
Ptilinopus ponapensis,Purple-capped Fruit-Dove,0
Ptilinopus hernsheimi,Kosrae Fruit-Dove,0
Ptilinopus porphyraceus,Crimson-crowned Fruit-Dove,0
Ptilinopus pelewensis,Palau Fruit-Dove,0
Ptilinopus rarotongensis,Cook Islands Fruit-Dove,0
Ptilinopus roseicapilla,Mariana Fruit-Dove,0
Ptilinopus regina,Rose-crowned Fruit-Dove,8
Ptilinopus richardsii,Silver-capped Fruit-Dove,0
Ptilinopus purpuratus,Gray-green Fruit-Dove,0
Ptilinopus chalcurus,Makatea Fruit-Dove,0
Ptilinopus coralensis,Atoll Fruit-Dove,0
Ptilinopus greyi,Red-bellied Fruit-Dove,0
Ptilinopus huttoni,Rapa Fruit-Dove,0
Ptilinopus dupetithouarsii,White-capped Fruit-Dove,0
Ptilinopus mercierii,Red-moustached Fruit-Dove,0
Ptilinopus insularis,Henderson Island Fruit-Dove,0
Ptilinopus coronulatus,Coroneted Fruit-Dove,1
Ptilinopus pulchellus,Beautiful Fruit-Dove,1
Ptilinopus monacha,Blue-capped Fruit-Dove,1
Ptilinopus rivoli,White-breasted Fruit-Dove,1
Ptilinopus solomonensis,Yellow-bibbed Fruit-Dove,1
Ptilinopus viridis,Claret-breasted Fruit-Dove,1
Ptilinopus eugeniae,White-headed Fruit-Dove,0
Ptilinopus iozonus,Orange-bellied Fruit-Dove,1
Ptilinopus insolitus,Knob-billed Fruit-Dove,0
Ptilinopus hyogastrus,Gray-headed Fruit-Dove,1
Ptilinopus granulifrons,Carunculated Fruit-Dove,0
Ptilinopus melanospilus,Black-naped Fruit-Dove,3
Ptilinopus nainus,Dwarf Fruit-Dove,1
Ptilinopus arcanus,Negros Fruit-Dove,0
Ptilinopus victor,Orange Dove,0
Ptilinopus luteovirens,Golden Dove,0
Ptilinopus layardi,Velvet Dove,0
Drepanoptila holosericea,Cloven-feathered Dove,0
Alectroenas nitidissimus,Mauritius Blue-Pigeon,0
Alectroenas madagascariensis,Madagascar Blue-Pigeon,1
Alectroenas sganzini,Comoro Blue-Pigeon,0
Alectroenas pulcherrimus,Seychelles Blue-Pigeon,0
Ducula poliocephala,Pink-bellied Imperial-Pigeon,1
Ducula forsteni,White-bellied Imperial-Pigeon,1
Ducula mindorensis,Mindoro Imperial-Pigeon,0
Ducula radiata,Gray-headed Imperial-Pigeon,1
Ducula carola,Spotted Imperial-Pigeon,1
Ducula aenea,Green Imperial-Pigeon,9
Ducula nicobarica,Nicobar Imperial-Pigeon,0
Ducula perspicillata,Spectacled Imperial-Pigeon,1
Ducula neglecta,Seram Imperial-Pigeon,0
Ducula concinna,Elegant Imperial-Pigeon,1
Ducula pacifica,Pacific Imperial-Pigeon,0
Ducula rubricera,Red-knobbed Imperial-Pigeon,0
Ducula oceanica,Micronesian Imperial-Pigeon,0
Ducula aurorae,Polynesian Imperial-Pigeon,0
Ducula galeata,Marquesas Imperial-Pigeon,0
Ducula myristicivora,Spice Imperial-Pigeon,1
Ducula rufigaster,Purple-tailed Imperial-Pigeon,1
Ducula basilica,Cinnamon-bellied Imperial-Pigeon,1
Ducula finschii,Finsch's Imperial-Pigeon,0
Ducula chalconota,Rufescent Imperial-Pigeon,1
Ducula pistrinaria,Island Imperial-Pigeon,1
Ducula rosacea,Pink-headed Imperial-Pigeon,0
Ducula whartoni,Christmas Island Imperial-Pigeon,0
Ducula pickeringii,Gray Imperial-Pigeon,2
Ducula latrans,Peale's Imperial-Pigeon,0
Ducula brenchleyi,Chestnut-bellied Imperial-Pigeon,0
Ducula bakeri,Baker's Imperial-Pigeon,0
Ducula goliath,New Caledonian Imperial-Pigeon,0
Ducula pinon,Pinon's Imperial-Pigeon,1
Ducula melanochroa,Bismarck Imperial-Pigeon,0
Ducula mullerii,Collared Imperial-Pigeon,1
Ducula zoeae,Zoe's Imperial-Pigeon,1
Ducula badia,Mountain Imperial-Pigeon,9
Ducula lacernulata,Dark-backed Imperial-Pigeon,1
Ducula cineracea,Timor Imperial-Pigeon,0
Ducula bicolor,Pied Imperial-Pigeon,9
Ducula spilorrhoa,Torresian Imperial-Pigeon,7
Ducula luctuosa,Silver-tipped Imperial-Pigeon,2
Lopholaimus antarcticus,Topknot Pigeon,6
Hemiphaga novaeseelandiae,New Zealand Pigeon,3
Hemiphaga chathamensis,Chatham Island Pigeon,0
Hemiphaga spadicea,Norfolk Island Pigeon,0
Cryptophaps poecilorrhoa,Sombre Pigeon,1
Gymnophaps albertisii,Papuan Mountain-Pigeon,1
Gymnophaps mada,Buru Mountain-Pigeon,0
Gymnophaps stalkeri,Seram Mountain-Pigeon,0
Gymnophaps solomonensis,Pale Mountain-Pigeon,0
Mesitornis variegatus,White-breasted Mesite,0
Mesitornis unicolor,Brown Mesite,1
Monias benschi,Subdesert Mesite,0
Syrrhaptes tibetanus,Tibetan Sandgrouse,0
Syrrhaptes paradoxus,Pallas's Sandgrouse,0
Pterocles alchata,Pin-tailed Sandgrouse,8
Pterocles namaqua,Namaqua Sandgrouse,2
Pterocles exustus,Chestnut-bellied Sandgrouse,10
Pterocles senegallus,Spotted Sandgrouse,4
Pterocles orientalis,Black-bellied Sandgrouse,8
Pterocles gutturalis,Yellow-throated Sandgrouse,4
Pterocles coronatus,Crowned Sandgrouse,4
Pterocles decoratus,Black-faced Sandgrouse,3
Pterocles personatus,Madagascar Sandgrouse,0
Pterocles lichtensteinii,Lichtenstein's Sandgrouse,8
Pterocles bicinctus,Double-banded Sandgrouse,5
Pterocles quadricinctus,Four-banded Sandgrouse,3
Pterocles indicus,Painted Sandgrouse,0
Pterocles burchelli,Burchell's Sandgrouse,1
Otis tarda,Great Bustard,4
Ardeotis arabs,Arabian Bustard,2
Ardeotis kori,Kori Bustard,13
Ardeotis nigriceps,Indian Bustard,0
Ardeotis australis,Australian Bustard,9
Chlamydotis undulata,Houbara Bustard,0
Chlamydotis macqueenii,Macqueen's Bustard,5
Neotis ludwigii,Ludwig's Bustard,2
Neotis denhami,Denham's Bustard,1
Neotis heuglinii,Heuglin's Bustard,0
Neotis nuba,Nubian Bustard,0
Eupodotis senegalensis,White-bellied Bustard,5
Eupodotis caerulescens,Blue Bustard,1
Eupodotis vigorsii,Karoo Bustard,1
Eupodotis rueppelii,Rüppell's Bustard,1
Eupodotis humilis,Little Brown Bustard,0
Eupodotis savilei,Savile's Bustard,0
Eupodotis gindiana,Buff-crested Bustard,3
Eupodotis ruficrista,Red-crested Bustard,7
Eupodotis afra,Black Bustard,1
Eupodotis afraoides,White-quilled Bustard,5
Lissotis melanogaster,Black-bellied Bustard,7
Lissotis hartlaubii,Hartlaub's Bustard,2
Houbaropsis bengalensis,Bengal Florican,2
Sypheotides indicus,Lesser Florican,0
Tetrax tetrax,Little Bustard,4
Corythaeola cristata,Great Blue Turaco,4
Tauraco persa,Guinea Turaco,3
Tauraco livingstonii,Livingstone's Turaco,1
Tauraco schalowi,Schalow's Turaco,2
Tauraco corythaix,Knysna Turaco,2
Tauraco schuettii,Black-billed Turaco,2
Tauraco leucolophus,White-crested Turaco,1
Tauraco fischeri,Fischer's Turaco,2
Tauraco macrorhynchus,Yellow-billed Turaco,2
Tauraco bannermani,Bannerman's Turaco,0
Tauraco erythrolophus,Red-crested Turaco,0
Tauraco hartlaubi,Hartlaub's Turaco,3
Tauraco leucotis,White-cheeked Turaco,2
Tauraco ruspolii,Prince Ruspoli's Turaco,1
Tauraco porphyreolophus,Purple-crested Turaco,3
Ruwenzorornis johnstoni,Rwenzori Turaco,1
Musophaga violacea,Violet Turaco,3
Musophaga rossae,Ross's Turaco,1
Corythaixoides personatus,Bare-faced Go-away-bird,5
Corythaixoides concolor,Gray Go-away-bird,9
Corythaixoides leucogaster,White-bellied Go-away-bird,7
Crinifer piscator,Western Plantain-eater,3
Crinifer zonurus,Eastern Plantain-eater,3
Guira guira,Guira Cuckoo,5
Crotophaga major,Greater Ani,19
Crotophaga ani,Smooth-billed Ani,35
Crotophaga sulcirostris,Groove-billed Ani,36
Tapera naevia,Striped Cuckoo,14
Dromococcyx phasianellus,Pheasant Cuckoo,10
Dromococcyx pavoninus,Pavonine Cuckoo,0
Morococcyx erythropygus,Lesser Ground-Cuckoo,6
Geococcyx velox,Lesser Roadrunner,3
Geococcyx californianus,Greater Roadrunner,41
Neomorphus geoffroyi,Rufous-vented Ground-Cuckoo,2
Neomorphus squamiger,Scaled Ground-Cuckoo,0
Neomorphus radiolosus,Banded Ground-Cuckoo,1
Neomorphus rufipennis,Rufous-winged Ground-Cuckoo,1
Neomorphus pucheranii,Red-billed Ground-Cuckoo,0
Carpococcyx viridis,Sumatran Ground-Cuckoo,0
Carpococcyx radiceus,Bornean Ground-Cuckoo,2
Carpococcyx renauldi,Coral-billed Ground-Cuckoo,1
Coua cristata,Crested Coua,0
Coua verreauxi,Verreaux's Coua,0
Coua caerulea,Blue Coua,1
Coua ruficeps,Red-capped Coua,0
Coua reynaudii,Red-fronted Coua,1
Coua coquereli,Coquerel's Coua,0
Coua cursor,Running Coua,0
Coua gigas,Giant Coua,0
Coua delalandei,Snail-eating Coua,0
Coua serriana,Red-breasted Coua,1
Centropus milo,Buff-headed Coucal,0
Centropus ateralbus,Pied Coucal,0
Centropus chalybeus,Biak Coucal,1
Centropus menbeki,Greater Black Coucal,1
Centropus unirufus,Rufous Coucal,2
Centropus chlororhynchos,Green-billed Coucal,2
Centropus melanops,Black-faced Coucal,2
Centropus rectunguis,Short-toed Coucal,0
Centropus steerii,Black-hooded Coucal,0
Centropus celebensis,Bay Coucal,2
Centropus anselli,Gabon Coucal,0
Centropus leucogaster,Black-throated Coucal,2
Centropus senegalensis,Senegal Coucal,5
Centropus monachus,Blue-headed Coucal,5
Centropus cupreicaudus,Coppery-tailed Coucal,2
Centropus superciliosus,White-browed Coucal,12
Centropus nigrorufus,Sunda Coucal,1
Centropus andamanensis,Andaman Coucal,1
Centropus sinensis,Greater Coucal,13
Centropus goliath,Goliath Coucal,1
Centropus toulou,Madagascar Coucal,1
Centropus grillii,Black Coucal,2
Centropus viridis,Philippine Coucal,4
Centropus bengalensis,Lesser Coucal,10
Centropus violaceus,Violaceous Coucal,0
Centropus bernsteini,Lesser Black Coucal,1
Centropus phasianinus,Pheasant Coucal,8
Rhinortha chlorophaea,Raffles's Malkoha,7
Ceuthmochares aereus,Blue Malkoha,2
Ceuthmochares australis,Green Malkoha,5
Taccocua leschenaultii,Sirkeer Malkoha,2
Zanclostomus javanicus,Red-billed Malkoha,2
Phaenicophaeus curvirostris,Chestnut-breasted Malkoha,8
Phaenicophaeus sumatranus,Chestnut-bellied Malkoha,5
Phaenicophaeus pyrrhocephalus,Red-faced Malkoha,1
Phaenicophaeus viridirostris,Blue-faced Malkoha,1
Phaenicophaeus diardi,Black-bellied Malkoha,1
Phaenicophaeus tristis,Green-billed Malkoha,8
Rhamphococcyx calyorhynchus,Yellow-billed Malkoha,2
Dasylophus superciliosus,Red-crested Malkoha,3
Dasylophus cumingi,Scale-feathered Malkoha,3
Clamator coromandus,Chestnut-winged Cuckoo,2
Clamator glandarius,Great Spotted Cuckoo,8
Clamator levaillantii,Levaillant's Cuckoo,9
Clamator jacobinus,Pied Cuckoo,9
Coccycua minuta,Little Cuckoo,6
Coccycua pumila,Dwarf Cuckoo,0
Coccycua cinerea,Ash-colored Cuckoo,0
Piaya cayana,Squirrel Cuckoo,35
Piaya melanogaster,Black-bellied Cuckoo,3
Coccyzus melacoryphus,Dark-billed Cuckoo,3
Coccyzus americanus,Yellow-billed Cuckoo,50
Coccyzus euleri,Pearly-breasted Cuckoo,0
Coccyzus minor,Mangrove Cuckoo,20
Coccyzus ferrugineus,Cocos Cuckoo,0
Coccyzus erythropthalmus,Black-billed Cuckoo,45
Coccyzus lansbergi,Gray-capped Cuckoo,0
Coccyzus pluvialis,Chestnut-bellied Cuckoo,1
Coccyzus rufigularis,Bay-breasted Cuckoo,0
Coccyzus vetula,Jamaican Lizard-Cuckoo,1
Coccyzus vieilloti,Puerto Rican Lizard-Cuckoo,3
Coccyzus merlini,Great Lizard-Cuckoo,3
Coccyzus longirostris,Hispaniolan Lizard-Cuckoo,4
Pachycoccyx audeberti,Thick-billed Cuckoo,5
Microdynamis parva,Dwarf Koel,1
Eudynamys scolopaceus,Asian Koel,11
Eudynamys melanorhynchus,Black-billed Koel,2
Eudynamys orientalis,Pacific Koel,5
Urodynamis taitensis,Long-tailed Koel,0
Scythrops novaehollandiae,Channel-billed Cuckoo,5
Chrysococcyx maculatus,Asian Emerald Cuckoo,4
Chrysococcyx xanthorhynchus,Violet Cuckoo,7
Chrysococcyx caprius,Dideric Cuckoo,8
Chrysococcyx klaas,Klaas's Cuckoo,9
Chrysococcyx flavigularis,Yellow-throated Cuckoo,0
Chrysococcyx cupreus,African Emerald Cuckoo,6
Chrysococcyx megarhynchus,Long-billed Cuckoo,1
Chrysococcyx basalis,Horsfield's Bronze-Cuckoo,7
Chrysococcyx osculans,Black-eared Cuckoo,1
Chrysococcyx ruficollis,Rufous-throated Bronze-Cuckoo,1
Chrysococcyx lucidus,Shining Bronze-Cuckoo,7
Chrysococcyx meyerii,White-eared Bronze-Cuckoo,1
Chrysococcyx minutillus,Little Bronze-Cuckoo,9
Cacomantis pallidus,Pallid Cuckoo,4
Cacomantis leucolophus,White-crowned Koel,1
Cacomantis castaneiventris,Chestnut-breasted Cuckoo,2
Cacomantis flabelliformis,Fan-tailed Cuckoo,8
Cacomantis sonneratii,Banded Bay Cuckoo,8
Cacomantis merulinus,Plaintive Cuckoo,10
Cacomantis passerinus,Gray-bellied Cuckoo,3
Cacomantis aeruginosus,Moluccan Cuckoo,1
Cacomantis variolosus,Brush Cuckoo,8
Cercococcyx mechowi,Dusky Long-tailed Cuckoo,0
Cercococcyx olivinus,Olive Long-tailed Cuckoo,2
Cercococcyx montanus,Barred Long-tailed Cuckoo,0
Surniculus dicruroides,Fork-tailed Drongo-Cuckoo,0
Surniculus velutinus,Philippine Drongo-Cuckoo,2
Surniculus lugubris,Square-tailed Drongo-Cuckoo,9
Surniculus musschenbroeki,Moluccan Drongo-Cuckoo,0
Hierococcyx vagans,Moustached Hawk-Cuckoo,3
Hierococcyx sparverioides,Large Hawk-Cuckoo,6
Hierococcyx bocki,Dark Hawk-Cuckoo,3
Hierococcyx varius,Common Hawk-Cuckoo,5
Hierococcyx hyperythrus,Northern Hawk-Cuckoo,0
Hierococcyx pectoralis,Philippine Hawk-Cuckoo,1
Hierococcyx nisicolor,Hodgson's Hawk-Cuckoo,1
Hierococcyx fugax,Malaysian Hawk-Cuckoo,1
Cuculus clamosus,Black Cuckoo,7
Cuculus solitarius,Red-chested Cuckoo,8
Cuculus poliocephalus,Lesser Cuckoo,4
Cuculus crassirostris,Sulawesi Cuckoo,0
Cuculus micropterus,Indian Cuckoo,9
